problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ2,5,decision,0.09663088053362345,0.07829448874128812,,
DTLZ2,6,learning,0.3884343775626565,0.35412056305883843,,
DTLZ2,6,decision,0.42007065559000045,0.38933581397630723,,
DTLZ2,7,learning,0.23483859274907226,0.24470462500360962,,
DTLZ2,7,decision,0.4336775750192632,0.45309834288602113,,
DTLZ2,8,learning,1.3657706536327194,0.6230121373700954,,
DTLZ2,8,decision,0.4418566271052735,0.3991930044118257,,
DTLZ2,9,learning,0.8597151411119551,0.7709794487245335,,
DTLZ2,9,decision,0.4507371580929914,0.47581648175149616,,
DTLZ3,3,learning,0.05700592029672939,0.12996452856443394,34.66060658964281,33.29512165506305
DTLZ3,3,decision,0.01905623842955146,0.029422608263096665,25.861499893484783,25.899655142327894
DTLZ3,4,learning,0.5605758708117122,0.49230088109554093,,
DTLZ3,4,decision,1.0093896415331431,1.061196172677133,,
DTLZ3,5,learning,0.2246086511734658,0.4507612808860885,,
DTLZ3,5,decision,0.09655189672416117,0.08692856226067008,,
DTLZ3,6,learning,0.5618111338775371,0.33505751162078445,,
DTLZ3,6,decision,0.2772888461145793,0.6614669338576754,,
DTLZ3,7,learning,0.6687170211264858,1.062650989802242,,
DTLZ3,7,decision,0.3317648867800632,0.9086835705695451,,
DTLZ3,8,learning,0.30867348239965703,0.8273189447851914,,
DTLZ3,8,decision,0.14478274618906078,1.1410499556781728,,
DTLZ3,9,learning,0.4132001994231538,1.0269090505745053,,
DTLZ3,9,decision,0.29291089837442263,0.9750563609430845,,
DTLZ4,3,learning,2.188853268101743,0.13650144759648772,23.918035774822865,34.01625058549769
DTLZ4,3,decision,0.01776731324183692,0.02807823673006743,25.785843328234883,25.93261863548699
DTLZ4,4,learning,0.18462587034561034,0.08242767118307275,,
DTLZ4,4,decision,0.19126145477375742,0.1796762858105871,,
DTLZ4,5,learning,0.6684045368273717,0.7269092766789956,,
DTLZ4,5,decision,0.9429892462456934,0.9475921855774656,,
DTLZ4,6,learning,0.6501158549114564,0.5894677162270958,,
DTLZ4,6,decision,0.9670794906145607,1.098004785358237,,
DTLZ4,7,learning,0.47119505928137784,0.39587901335265113,,
DTLZ4,7,decision,0.4542578500378529,0.3436597395206866,,
DTLZ4,8,learning,1.0151943728655997,1.0095363981965313,,
DTLZ4,8,decision,1.2106548959353116,1.2175493333776544,,
DTLZ4,9,learning,0.8790697744332812,0.8529233079877795,,
DTLZ4,9,decision,0.5266051070783675,0.30337382232585763,,
DTLZ1,3,learning,2.462575185287036,2.461584379011268,34.61436814786941,34.417425671819764
DTLZ1,3,decision,1.7948101208753697,1.7792483505372716,25.70184713094949,26.00480391136137
DTLZ1,4,learning,2.3142335342251856,2.8302619586840456,,
DTLZ1,4,decision,1.7287968338228683,1.729594204487445,,
DTLZ1,5,learning,2.594831469032291,2.6215275883062645,,
DTLZ1,5,decision,1.6948973588800853,1.6906643250844229,,
DTLZ1,6,learning,2.4544968810264867,2.742576189767994,,
DTLZ1,6,decision,2.073249393817356,2.3857158123295767,,
DTLZ1,7,learning,2.7797737382213454,2.281345265940966,,
DTLZ1,7,decision,1.8609646360450438,1.8899329250046375,,
DTLZ1,8,learning,2.4839821016733357,2.5244919764818565,,
DTLZ1,8,decision,2.058106410339484,2.5550194129431842,,
DTLZ1,9,learning,2.8359234830690316,2.748965808094204,,
DTLZ1,9,decision,1.7223378378813723,1.7155062060164634,,
DTLZ2,3,learning,0.09646217637600853,0.05680815301372158,34.56196205001925,34.50102604005315
DTLZ2,3,decision,0.15414327844810197,0.12205430815843188,26.01130208422058,26.418438740690178
DTLZ2,4,learning,0.08159224107380333,0.05166966241029936,,
DTLZ2,4,decision,0.9999801417918156,0.0802433562295963,,
DTLZ2,5,learning,0.17477665137425097,0.14573336284335903,,
DTLZ2,5,decision,0.10865314550519851,0.07951872533117138,,
DTLZ2,6,learning,0.6374518530014293,0.6338630536479009,,
DTLZ2,6,decision,1.1212486076578834,1.114136494255086,,
DTLZ2,7,learning,0.6227019247067702,0.48739985956808984,,
DTLZ2,7,decision,0.43620549999989144,0.4565085901806333,,
DTLZ2,8,learning,0.7784221196563322,0.7522836383454679,,
DTLZ2,8,decision,1.2243633714217537,1.1293230516938313,,
DTLZ2,9,learning,0.3767658929156053,0.38298412014466865,,
DTLZ2,9,decision,0.14857146123059406,0.11245038005730923,,
DTLZ3,3,learning,0.11219444916569317,0.09587962768874789,34.270637656030665,34.571611663026054
DTLZ3,3,decision,0.018381127276658516,0.029187073427623778,25.873451910733195,25.910915711959845
DTLZ3,4,learning,0.13653884154022666,0.45182288275863647,,
DTLZ3,4,decision,0.10282184591259748,0.11760293158220471,,
DTLZ3,5,learning,0.1746013860608427,0.82645764369345,,
DTLZ3,5,decision,0.05607014556337833,0.05093380643642602,,
DTLZ3,6,learning,0.36877489063073265,0.833402265003078,,
DTLZ3,6,decision,0.42364905400366415,0.3923150144233939,,
DTLZ3,7,learning,0.42884058399397884,0.48747452877518904,,
DTLZ3,7,decision,0.43848765476847873,0.2593298214542443,,
DTLZ3,8,learning,0.3315153974658488,0.2975353535756991,,
DTLZ3,8,decision,0.12977893210358432,0.5239268024921407,,
DTLZ3,9,learning,0.26599865659897953,1.185595123973835,,
DTLZ3,9,decision,0.14773036074541068,1.5064129405372895,,
DTLZ4,3,learning,0.12011005158933946,0.08781860037140118,32.29873518283054,32.48343655651436
DTLZ4,3,decision,0.1531000703779382,0.08957356924474268,26.12182048828079,26.55916186299006
DTLZ4,4,learning,0.12842526029841766,0.01766944598742208,,
DTLZ4,4,decision,0.09142681347871504,0.06995511580005026,,
DTLZ4,5,learning,0.24667368615018676,0.0496378712620332,,
DTLZ4,5,decision,0.9468893380586427,0.992506359963199,,
DTLZ4,6,learning,0.3717245331698191,0.3894732579417022,,
