problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,100,[0.8542643 1.7085286 1.7085286],0.6822374793598233,0.6845696084998738,9.16427954746967,9.580791129635756
DTLZ1,3,2,100,[0.         0.         1.05422113],0.5518802891356519,0.5519142627020647,8.078755672413832,8.072100125427536
DTLZ1,3,3,100,[0.        0.8595116 0.       ],0.5518797317550158,0.5519230220528553,8.074046303209924,8.062750759823107
DTLZ1,3,4,100,[0.50650138 0.         0.        ],0.551933715248771,0.5518988700740904,8.077146966834762,8.064371199617346
DTLZ1,3,5,100,[0.         0.41724106 0.        ],0.5530098808891393,0.5531129410467733,8.023848214761278,8.031330582994455
DTLZ1,3,6,100,[0.         0.41490264 0.        ],0.5530227125427484,0.5530963782592605,8.023473013031166,8.03109844725464
DTLZ1,3,7,100,[0.         0.41482658 0.        ],0.5530199788421547,0.5530952036234862,8.023953390059061,8.031389378944594
DTLZ2,3,1,100,[5.96509066e-17 1.00333994e+00 0.00000000e+00],0.008841252867027138,0.019134907320712803,8.080237550202007,8.05758124626842
DTLZ2,3,2,100,[3.75372486e-33 2.43704005e-01 9.74816019e-01],0.06654397491298408,0.045794047971875924,8.302390185724388,8.47021961611132
DTLZ2,3,3,100,[3.75107635e-33 8.36787870e-01 5.57858580e-01],0.0060163688454286145,0.008929451691118355,8.777404544090485,8.774564961041651
DTLZ2,3,4,100,[0.55653792 0.83480687 0.        ],0.006010195046510286,0.010140623030260733,8.776756392231032,8.787270169191018
DTLZ2,3,5,100,[3.75107635e-33 8.32152033e-01 5.54768022e-01],0.005920351517034209,0.009733749983600654,8.620571998741902,8.641380059873939
DTLZ2,3,6,100,[3.75107635e-33 8.32151942e-01 5.54767961e-01],0.005816831208967397,0.006286239894868778,8.621406590065934,8.639129121857227
DTLZ2,3,7,100,[3.75107635e-33 8.32122138e-01 5.54748092e-01],0.005909047828362875,0.010318983855825147,8.62170563236089,8.638486063502269
DTLZ3,3,1,100,[1.40126525e-32 3.47852834e+00 2.31901889e+00],0.009838335886792266,0.013966353765948042,8.777086826317982,8.8552553570887
DTLZ3,3,2,100,[1.40126525e-32 5.71308876e-01 8.56963315e-01],0.005762937144643251,0.008786331762794536,8.813675103021955,8.77440538915482
DTLZ3,3,3,100,[1.40126525e-32 9.87998134e-01 2.46999534e-01],0.06847541757196297,0.0673124995113847,8.289138042779046,8.324991630164789
DTLZ3,3,4,100,[1.00504839 0.         0.        ],0.009201296150913245,0.0066212452819152876,8.081068571022339,8.060996396934378
DTLZ3,3,5,100,[1.40126525e-32 5.57787034e-01 8.36680552e-01],0.28792289694946205,0.010810133990497933,6.149108779093576,8.620568186210308
DTLZ3,3,6,100,[1.40126525e-32 5.56910622e-01 8.35365933e-01],0.28792289694946205,0.009995348990611358,6.149108779093576,8.626400544569565
DTLZ3,3,7,100,[1.40126525e-32 5.56910622e-01 8.35365933e-01],0.28792289694946205,0.010201753481715599,6.149108779093576,8.6345525683088
