problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 0.          0.         23.19766041],0.5518234484080016,0.5573734517240371,8.078187439237082,8.001487457873628
DTLZ1,3,2,50,[2.86996243 1.43498121 2.86996243],0.6699893899689761,0.7332204964647661,9.477267994703753,9.00149869616477
DTLZ1,3,3,50,[0.         0.74757211 2.99028846],0.5601247087715941,0.5621112299381742,8.699853275321475,8.54415529568219
DTLZ1,3,4,50,[0.30166071 0.30166071 0.90498214],0.5982361923333347,0.5969651420197,8.767235529769357,8.676332532507821
DTLZ1,3,5,50,[0.        0.9863377 0.       ],1.0348847218232917,0.5534345723523555,4.4479425797629535,8.022391542424147
DTLZ1,3,6,50,[0.         0.51144889 0.        ],0.7272323070782596,0.5530667536666346,6.440539025554247,8.029684121059013
DTLZ1,3,7,50,[0.         0.44423847 0.        ],0.5530506646805801,0.5530541305015356,8.024242623993102,8.031275956554476
DTLZ2,3,1,50,[2.92456042e-17 0.00000000e+00 1.00773579e+00],0.009217312506570534,0.007644654926045239,8.08067955885076,8.059845043069654
DTLZ2,3,2,50,[2.43606740e-20 8.64348781e-01 5.76232520e-01],0.28792289694946205,0.009012070774887228,6.149108779093576,8.882079256867815
DTLZ2,3,3,50,[2.43606740e-20 1.00059455e+00 0.00000000e+00],0.008674924712130473,0.005729830612170948,8.080091471582994,8.061465745964945
DTLZ2,3,4,50,[0.86109702 0.57406468 0.        ],0.28792289694946205,0.010619242508186908,6.149108779093576,8.926567997097338
DTLZ2,3,5,50,[2.43606740e-20 8.32364258e-01 5.54909505e-01],0.28792289694946205,0.02552170986347697,6.149108779093576,8.504496702043504
DTLZ2,3,6,50,[8.47423709e-21 8.32178910e-01 5.54785940e-01],0.28792289694946205,0.010542543338439788,6.149108779093576,8.630541377250147
DTLZ2,3,7,50,[8.47423709e-21 8.32168622e-01 5.54779082e-01],0.28792289694946205,0.009858388673656302,6.149108779093576,8.640136297162739
DTLZ3,3,1,50,[1.78973511e-31 5.31524393e+01 0.00000000e+00],0.8813634218498465,0.019083351929242078,3.256123762060281,8.039658901320989
DTLZ3,3,2,50,[1.40726136 0.         5.62904543],0.1340907259260996,0.07415368703528909,7.7449127983582695,7.980136696370602
DTLZ3,3,3,50,[9.71321077e-33 2.07243218e+00 5.18108044e-01],0.7901817580977673,0.13485514826520395,3.978834163296853,7.663214229588869
DTLZ3,3,4,50,[2.05821285 0.         0.        ],0.4020940226087897,0.013919054724195306,5.470712607645199,8.056408906074266
DTLZ3,3,5,50,[0.67615328 1.35230656 1.35230656],0.010357438531402837,0.027040603075533725,9.056351223358611,9.021350219687008
DTLZ3,3,6,50,[0.67284613 1.34569227 1.34569227],0.016938173936837598,0.0486681152864081,8.983426741735574,8.614832566013574
DTLZ3,3,7,50,[0.33980092 0.67960183 0.67960183],0.017525568410622534,0.12849676271926166,8.986746992093197,7.965637155178515
DTLZ4,3,1,50,[1.46246104e-017 1.00902783e+000 6.22287848e-187],0.023171132967800614,0.005095978022812766,7.946701122200051,8.059439191292572
DTLZ4,3,2,50,[0.83749513 0.         0.55833009],0.005985392572845367,0.009349972710275068,8.916077542821142,8.773571498687206
DTLZ4,3,3,50,[0.57713089 0.         0.86569633],0.006017967302109282,0.007893676417114975,8.778009391602579,8.815292383402127
DTLZ4,3,4,50,[0.97169168 0.         0.24292292],0.06494242364134799,0.07080593970939772,8.323385630600468,8.298679663529487
DTLZ4,3,5,50,[0.55484373 0.         0.83226559],0.005804649779628506,0.009783135752724784,8.6220698350174,8.632689382063779
DTLZ4,3,6,50,[0.55480089 0.         0.83220133],0.005898222005429853,0.010181656473936245,8.618426954816695,8.633239166247035
DTLZ4,3,7,50,[0.55474196 0.         0.83211294],0.005910597022258381,0.010342364958794335,8.620483476016148,8.643880282474022
DTLZ1,4,1,50,[ 0.          0.          0.         50.63634934],0.7183564581578753,0.5613557182867039,,
DTLZ1,4,2,50,[0.         0.         3.49959445 2.33306297],0.77587080057434,0.8968340671889283,,
DTLZ1,4,3,50,[0.         0.86175682 0.         3.44702726],0.6463729270027797,0.590469151560355,,
DTLZ1,4,4,50,[0.         0.64178933 1.28357867 1.28357867],0.722410855643732,0.7570495068183728,,
DTLZ1,4,5,50,[0.         0.30263947 0.         1.21055789],0.5691472566863569,0.5858643016944426,,
DTLZ1,4,6,50,[0.         0.18555394 0.         0.74221577],0.5877620381879961,0.5744804119161333,,
DTLZ1,4,7,50,[0.         0.09224226 0.         0.36896905],0.5803429578954308,0.6183855428534406,,
DTLZ2,4,1,50,[1.45808941e-17 2.56392477e-01 0.00000000e+00 1.02556991e+00],0.09450756532349935,0.09645534358978784,,
DTLZ2,4,2,50,[0.67515742 0.67515742 0.33757871 0.        ],0.04027847999716816,0.03397230630128688,,
DTLZ2,4,3,50,[0.68364945 0.34182473 0.68364945 0.        ],0.030103286965860496,0.03136700295579255,,
DTLZ2,4,4,50,[4.53614035e-18 9.88772720e-01 0.00000000e+00 2.47193180e-01],0.08492226560853082,0.0891371855959977,,
DTLZ2,4,5,50,[0.66729231 0.33364615 0.66729231 0.        ],0.04057345937345214,0.029219930097306286,,
DTLZ2,4,6,50,[0.66729231 0.33364615 0.66729231 0.        ],0.036562503531379256,0.041682579690620426,,
DTLZ2,4,7,50,[0.66716078 0.33358039 0.66716078 0.        ],0.03583559435484432,0.03465145642192017,,
DTLZ3,4,1,50,[ 27.35506739   0.         109.42026954   0.        ],0.0807687780265686,0.11481527027362504,,
DTLZ3,4,2,50,[4.09371830e-48 0.00000000e+00 4.09179891e+00 1.63671956e+01],0.8164188356820539,0.09728296168276547,,
DTLZ3,4,3,50,[2.20398087e-48 0.00000000e+00 4.74944477e+00 7.12416715e+00],0.02850540639998344,0.2565041613276068,,
DTLZ3,4,4,50,[2.20398087e-48 0.00000000e+00 3.19549271e+00 7.98873177e-01],0.07943091198919276,0.09805623720340385,,
DTLZ3,4,5,50,[2.20398087e-48 0.00000000e+00 0.00000000e+00 2.04918897e+00],0.03113841075195341,0.07401379961583118,,
DTLZ3,4,6,50,[2.20398087e-48 0.00000000e+00 0.00000000e+00 1.17975463e+00],0.026467621235943643,0.02481894195830445,,
DTLZ3,4,7,50,[2.20398087e-48 0.00000000e+00 0.00000000e+00 1.00717068e+00],0.030622379719574436,0.019147546204044914,,
DTLZ4,4,1,50,[2.88259422e-17 6.86250800e-01 3.43125400e-01 6.86250800e-01],0.03939549769444598,0.042343259692648835,,
DTLZ4,4,2,50,[0.58263717 0.         0.         0.87395575],0.030332418252127857,0.018044425519179886,,
DTLZ4,4,3,50,[3.23941109e-33 1.00247321e+00 0.00000000e+00 0.00000000e+00],0.008922122700524298,0.006806323569970187,,
DTLZ4,4,4,50,[0.98012991 0.         0.24503248 0.        ],0.08552982265286974,0.09271249662025167,,
DTLZ4,4,5,50,[3.23941109e-33 6.67869796e-01 3.33934898e-01 6.67869796e-01],0.03073029735751896,0.026040382028508443,,
DTLZ4,4,6,50,[3.23941109e-33 6.67110100e-01 3.33555050e-01 6.67110100e-01],0.03587467683607313,0.03183297673957728,,
DTLZ4,4,7,50,[3.23941109e-33 6.66993168e-01 3.33496584e-01 6.66993168e-01],0.035785058620143896,0.0364629194925292,,
DTLZ1,5,1,50,[ 0.          0.          0.          5.82123998 23.28495991],0.6259379319050543,0.6243064491179695,,
DTLZ1,5,2,50,[0.         0.         6.64658777 6.64658777 3.32329388],0.8338085508234651,0.9194761173262502,,
DTLZ1,5,3,50,[0.         0.         0.         0.         4.37832808],0.6894874376035932,0.5634705475507554,,
DTLZ1,5,4,50,[0.         0.         0.         3.10668831 0.        ],0.7730686407174048,0.5629517281014869,,
DTLZ1,5,5,50,[0.         0.         0.51008993 0.         2.04035972],0.7321203554602026,0.5992208354117033,,
DTLZ1,5,6,50,[0.         0.         0.42987017 0.         1.71948068],0.5853893497308911,0.6243064491179696,,
DTLZ1,5,7,50,[0.         0.         0.35841325 0.         1.43365302],0.5866509756498168,0.6243064491179696,,
DTLZ2,5,1,50,"[4.04230161e-17 0.00000000e+00 1.84065433e-17 1.01100376e+00
 6.74002509e-01]",0.03289548993487295,0.029936096765284033,,
DTLZ2,5,2,50,"[1.42214737e-34 0.00000000e+00 3.06845170e-01 9.20535511e-01
 3.06845170e-01]",0.015168223282558384,0.025412327750960268,,
DTLZ2,5,3,50,"[1.42214737e-34 0.00000000e+00 7.73229237e-01 3.86614619e-01
 7.73229237e-01]",0.04526075863122347,0.03249255703500275,,
DTLZ2,5,4,50,"[1.42214737e-34 0.00000000e+00 8.55485805e-01 5.70323870e-01
 0.00000000e+00]",0.032132102191789136,0.03213851615418923,,
DTLZ2,5,5,50,"[1.42214737e-34 0.00000000e+00 6.67302600e-01 3.33651300e-01
 6.67302600e-01]",0.04020656129985427,0.046716174489884986,,
DTLZ2,5,6,50,"[1.42214737e-34 0.00000000e+00 6.67143606e-01 3.33571803e-01
 6.67143606e-01]",0.0401514000288441,0.035899833244418866,,
DTLZ2,5,7,50,"[1.42214737e-34 0.00000000e+00 6.67143606e-01 3.33571803e-01
 6.67143606e-01]",0.03579180520743679,0.031919867250383684,,
DTLZ3,5,1,50,"[9.31843557e-63 0.00000000e+00 1.26425489e+02 0.00000000e+00
 8.42836590e+01]",0.043055983719509215,0.317247384545858,,
DTLZ3,5,2,50,"[9.31843557e-63 0.00000000e+00 5.57227429e+00 2.22890972e+01
 0.00000000e+00]",0.5622368912659089,0.16229662760208238,,
DTLZ3,5,3,50,"[9.31843557e-63 1.63571502e+00 0.00000000e+00 6.54286009e+00
 0.00000000e+00]",0.08924770922475511,0.15762560640078802,,
DTLZ3,5,4,50,"[9.31843557e-63 0.00000000e+00 0.00000000e+00 4.95173915e+00
 1.23793479e+00]",0.1418134893454405,0.05889849657511243,,
DTLZ3,5,5,50,"[9.31843557e-63 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.16659121e+00]",0.05030837894802734,0.07464867978935029,,
DTLZ3,5,6,50,"[9.31843557e-63 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.01899935e+00]",0.04447673188115058,0.030811197861693184,,
DTLZ3,5,7,50,"[9.31843557e-63 0.00000000e+00 0.00000000e+00 0.00000000e+00
 2.00724663e+00]",0.041663618893643846,0.010960398992664221,,
DTLZ4,5,1,50,"[3.90397097e-33 0.00000000e+00 0.00000000e+00 6.10439013e-01
 9.15658519e-01]",0.03221892778153236,0.02736573164382478,,
DTLZ4,5,2,50,[0.41022848 0.41022848 0.         0.41022848 0.82045697],0.2933025507761193,0.3303258838103319,,
DTLZ4,5,3,50,[0.35271309 0.70542617 0.70542617 0.         0.        ],0.03929748478738026,0.033560277287271956,,
DTLZ4,5,4,50,[0.3821025  0.3821025  0.76420501 0.3821025  0.        ],0.31689745941629877,0.31919843729929404,,
DTLZ4,5,5,50,[0.37984337 0.37984337 0.         0.37984337 0.75968675],0.33818628260459777,0.33343052715537075,,
DTLZ4,5,6,50,[0.37887887 0.37887887 0.         0.37887887 0.75775775],0.3147566306194026,0.3292132244595832,,
DTLZ4,5,7,50,[0.3783967  0.3783967  0.         0.3783967  0.75679339],0.31571366541809354,0.29486495981930877,,
DTLZ1,6,1,50,[ 0.          0.          0.          0.          0.         87.09114948],0.9974530385014931,0.5720307995367159,,
DTLZ1,6,2,50,[ 0.          0.          0.          0.          0.         42.20110629],0.6937206856865628,0.572411492164498,,
DTLZ1,6,3,50,[0.         0.         0.         0.         8.21588255 5.47725503],0.9433547585600515,0.8379722494054944,,
DTLZ1,6,4,50,[0.         0.         0.         0.76941161 0.76941161 2.30823484],0.6371679974281811,0.8005131717312973,,
DTLZ1,6,5,50,[0.51609635 0.         0.         0.         0.         2.0643854 ],0.6074357249752858,0.6284642697518026,,
DTLZ1,6,6,50,[0.23566653 0.         0.         0.         0.         0.94266613],0.592994858671392,0.6175094483279365,,
DTLZ1,6,7,50,[0.225518 0.       0.       0.       0.       0.902072],0.5993472126438335,0.6284642697518026,,
DTLZ2,6,1,50,"[1.22600110e-19 8.43916979e-18 4.23607421e-17 3.03406275e-17
 0.00000000e+00 1.01374776e+00]",0.2332439794982546,0.029329304657102484,,
DTLZ2,6,2,50,"[1.98543762e-34 0.00000000e+00 0.00000000e+00 9.82724219e-01
 2.45681055e-01 0.00000000e+00]",0.14248235327605666,0.14729633946206167,,
DTLZ2,6,3,50,"[1.98543762e-34 0.00000000e+00 3.11234662e-01 0.00000000e+00
 3.11234662e-01 9.33703986e-01]",0.2874566778926847,0.07702581921518732,,
DTLZ2,6,4,50,"[1.98543762e-34 0.00000000e+00 9.95630830e-01 0.00000000e+00
 2.48907708e-01 0.00000000e+00]",0.13756799877722167,0.09826085946988536,,
DTLZ2,6,5,50,"[1.98543762e-34 0.00000000e+00 0.00000000e+00 9.74402070e-01
 2.43600518e-01 0.00000000e+00]",0.14015389924117258,0.1521925629174746,,
DTLZ2,6,6,50,"[3.33750944e-38 0.00000000e+00 0.00000000e+00 9.72225948e-01
 2.43056487e-01 0.00000000e+00]",0.13804034751871663,0.1409245861784271,,
DTLZ2,6,7,50,"[3.33750944e-38 0.00000000e+00 0.00000000e+00 9.71200783e-01
 2.42800196e-01 0.00000000e+00]",0.14041820830734797,0.14912224950350678,,
DTLZ3,6,1,50,"[4.15120082e-31 0.00000000e+00 0.00000000e+00 3.65860112e+01
 1.09758034e+02 3.65860112e+01]",0.08793381716444887,0.13806707955681585,,
DTLZ3,6,2,50,"[6.29440334e-47 0.00000000e+00 0.00000000e+00 1.19100030e+01
 2.38200060e+01 2.38200060e+01]",0.09765154353135427,0.5114601663007484,,
DTLZ3,6,3,50,"[9.86469456e-48 0.00000000e+00 4.83994734e+00 4.83994734e+00
 4.83994734e+00 9.67989469e+00]",0.2788146123317565,0.7905896292254542,,
DTLZ3,6,4,50,"[3.67541888e-48 0.00000000e+00 0.00000000e+00 1.12778572e+01
 3.38335715e+01 1.12778572e+01]",0.11188465189016882,0.1262694678345893,,
DTLZ3,6,5,50,"[3.67541888e-48 0.00000000e+00 0.00000000e+00 3.34835332e+00
 6.69670663e+00 6.69670663e+00]",0.09810478280600589,0.07906327446171497,,
