problem,num_obj,phase,iRVEA_R_IGD_mean,iRVEA_R_IGD_std,iNSGAIII_R_IGD_mean,iNSGAIII_R_IGD_std,iRVEA_R_HV_mean,iRVEA_R_HV_std,iNSGAIII_R_HV_mean,iNSGAIII_R_HV_std
DTLZ1,3,learning,2.688799260066298,0.3216637716828544,2.4727825535653096,0.15249466583660604,32.05928241203965,2.179668542185974,33.37102214702711,0.5539329761973483
DTLZ1,3,decision,1.8926874636791768,0.32509183425878774,1.763748968784205,0.15948571715048507,23.610603296142123,2.5614996217330055,24.57245754276882,0.7065180113644323
DTLZ1,4,learning,2.7429563030531146,0.3488349404599257,2.6171778564217623,0.16572730322645512,,,,
DTLZ1,4,decision,2.027484458477401,0.37641387792505826,1.9813066127367094,0.26947408518266114,,,,
DTLZ1,5,learning,3.158217918917898,0.5895593627061043,2.6717491016436465,0.2111209806391351,,,,
DTLZ1,5,decision,2.0173444389102277,0.19768626192324923,2.266560197836818,0.3623077203346565,,,,
DTLZ1,6,learning,3.116284414402994,0.3924210265183134,2.6587498858796246,0.14969403986662713,,,,
DTLZ1,6,decision,2.0614261224823967,0.2640123878733441,2.2881032421407874,0.4448501050247025,,,,
DTLZ1,7,learning,3.300832560780703,0.44868842839421663,2.7262210882971813,0.2133305830783806,,,,
DTLZ1,7,decision,2.2738964094438434,0.3013555206924988,2.383085260980215,0.3885551675892911,,,,
DTLZ1,8,learning,3.0405149450810636,0.18734305694633993,2.8206381302807864,0.2598173834513972,,,,
DTLZ1,8,decision,2.2681806720763733,0.36137455167321103,2.500352236091204,0.6592539350163837,,,,
DTLZ1,9,learning,3.0714690230839374,0.25901236047176607,2.8019455078884525,0.27574824314123236,,,,
DTLZ1,9,decision,2.162940394352509,0.2990692464274514,2.462503854816621,0.6231342393675346,,,,
DTLZ2,3,learning,0.207700704271226,0.1852241621916645,0.10774738894160912,0.1259268549530992,32.25626644385278,1.678979427842683,33.15877522794767,0.7375981376568658
DTLZ2,3,decision,0.5484594618209767,0.6601359039748304,0.10244014522304107,0.06467135493158711,22.24938063541257,4.73910596032587,25.82377906410115,0.6640502417172125
DTLZ2,4,learning,0.47108194005388515,0.34255651608960025,0.22073339816311266,0.1208359149949781,,,,
DTLZ2,4,decision,0.5725496404565851,0.7672800755170642,0.2414042967675959,0.2644443336503506,,,,
DTLZ2,5,learning,0.32032730917942864,0.2927571083950516,0.19830998776323913,0.11949781954049207,,,,
DTLZ2,5,decision,0.5511007004571464,0.9774704541955367,0.24602177993841995,0.3406141974468596,,,,
DTLZ2,6,learning,0.5596057686020574,0.3273085593710435,0.3918180170949446,0.18913344514948888,,,,
DTLZ2,6,decision,0.7035320369544591,0.9306163289392357,0.4655386754203568,0.3534974748696599,,,,
DTLZ2,7,learning,0.827750307888673,0.5284810444049833,0.41541073534458145,0.20973209966661888,,,,
DTLZ2,7,decision,1.4702150115816506,1.5727049848541639,0.6103225367625054,0.49961579036768766,,,,
DTLZ2,8,learning,0.5245766070850216,0.24870719752281767,0.5439741570176941,0.674867327191391,,,,
DTLZ2,8,decision,0.7157942500657613,1.158717302226188,0.3468301672991686,0.3189281310619179,,,,
DTLZ2,9,learning,0.9680510543268891,0.5323848421591203,0.4928906075194285,0.17837639632583696,,,,
DTLZ2,9,decision,1.2303195625729058,1.5347379988907863,0.5011825970078182,0.33636200571900865,,,,
DTLZ3,3,learning,0.27804635138389,0.4547974508225681,0.2250227289976586,0.11084259912650188,33.21774514633754,3.149854101888722,33.15595863496945,0.9567261059877471
