problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 3.7337412  3.7337412 11.2012236],0.5906248270279808,0.6250778099987361,8.979343031544008,8.080188950758844
DTLZ1,3,2,50,[0.         0.         3.80842096],0.5520277457847033,0.5525189129875598,8.075354261324636,8.058436256921322
DTLZ1,3,3,50,[0.         1.13867735 0.        ],0.776397010892311,0.5518489616620763,6.3989635415925425,8.058430063428617
DTLZ1,3,4,50,[0.84010024 0.         0.21002506],0.685361272283656,0.682506237193615,8.285191803550456,8.309433576953058
DTLZ1,3,5,50,[0.         0.85554066 0.        ],0.5532773372923406,0.5529134509106884,8.019330859559467,8.030374450413863
DTLZ1,3,6,50,[0.        0.8488001 0.       ],0.5530642688088657,0.5527512264497864,8.023721939314663,8.029173830561108
DTLZ1,3,7,50,[0.        0.4308312 0.       ],0.5530750600001325,0.55311018683638,8.023295958641185,8.03173046253009
DTLZ2,3,1,50,[2.64872887e-17 1.01085868e+00 0.00000000e+00],0.008484558346935685,0.006580604062496234,8.079596087180065,8.06062384414729
DTLZ2,3,2,50,[1.00160102 0.         0.        ],0.009312783850483806,0.005973071439435331,8.080214358508176,8.060911612540151
DTLZ2,3,3,50,[0.83290077 0.         0.55526718],0.005864547683302154,0.009903406861854817,8.79230153677922,8.725453295789112
DTLZ2,3,4,50,[0.55508518 0.         0.83262777],0.0060107010325192375,0.009475491846041172,8.777937501839961,8.762957903919432
DTLZ2,3,5,50,[0.83220549 0.         0.55480366],0.0063492801957486635,0.010847492920558182,8.623686239458188,8.632645169248953
DTLZ2,3,6,50,[0.83216707 0.         0.55477804],0.005862105973019944,0.01010682120488476,8.624063196473001,8.624207114413524
DTLZ2,3,7,50,[0.83212301 0.         0.55474867],0.005781543525485466,0.01032604767347447,8.621952376678687,8.627877180706864
DTLZ3,3,1,50,[2.42559782e-31 3.89598577e+01 2.59732385e+01],0.00526066830029524,0.006197665138616047,8.941661166429977,8.355299483503153
DTLZ3,3,2,50,[5.26052530e-32 4.63133407e+00 6.94700110e+00],0.007060774435643165,0.03552980467015629,8.846825659543807,8.458749446163687
DTLZ3,3,3,50,[2.20819828e-32 2.76973807e+00 4.15460711e+00],0.007833102352739346,0.006463805466724932,8.809819947295356,9.028383077223232
DTLZ3,3,4,50,[0.77625935 0.         3.10503739],0.05328135540343228,0.044611682082456854,8.400231519164741,8.751521440764774
DTLZ3,3,5,50,[1.16019089e-32 1.15444313e+00 1.73166469e+00],0.01722923210213381,0.0027219011826406145,8.633903679778657,8.657797803806266
DTLZ3,3,6,50,[7.61970103e-33 5.87048032e-01 8.80572048e-01],0.015855445153244573,0.003408021820223565,8.600410638616763,8.657744986798658
DTLZ3,3,7,50,[7.61970103e-33 5.59925174e-01 8.39887762e-01],0.010937855536482759,0.01232399400783195,8.559805169681765,8.633136583128522
DTLZ4,3,1,50,[3.79361487e-33 1.01940724e+00 0.00000000e+00],0.023362454692066402,0.007107947160894749,7.946061793053291,8.05917553801494
DTLZ4,3,2,50,[0.34866861 0.69733722 0.69733722],0.058315325473136066,0.016056892719007555,9.233618017915072,8.988592873377549
DTLZ4,3,3,50,[3.79361487e-33 5.58492667e-01 8.37739000e-01],0.005936459410302247,0.009308336348710268,8.777328001368732,8.823260287539764
DTLZ4,3,4,50,[3.75084149e-33 8.38166577e-01 5.58777718e-01],0.004889058034847788,0.009979173208418719,8.803613091924381,8.778707559678237
DTLZ4,3,5,50,[0.33354619 0.66709239 0.66709239],0.05450359124371359,0.017485074086744455,8.681844150487112,8.915688072271017
DTLZ4,3,6,50,[0.33341975 0.6668395  0.6668395 ],0.05036940518632433,0.018318300232709327,8.709121709565453,8.911524604617226
DTLZ4,3,7,50,[0.33337158 0.66674315 0.66674315],0.050814106718806346,0.01897057798095919,8.706094477953238,8.880832027359618
DTLZ1,4,1,50,[ 0.          0.         17.37631012 26.06446517],0.6436581895230284,0.6763323943625438,,
DTLZ1,4,2,50,[0.        0.        0.        3.8774676],0.5591604116161949,0.5600224430220835,,
DTLZ1,4,3,50,[0.         0.         0.9106682  0.22766705],0.7136841269594688,0.7062427951012241,,
