problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ3,4,learning,0.20180181796099275,0.5394770031721334,,
DTLZ3,4,decision,0.08459513487774648,0.04390660820509611,,
DTLZ3,5,learning,0.8221544244752659,1.578199519981789,,
DTLZ3,5,decision,0.28603276454120086,0.1719728479148137,,
DTLZ3,6,learning,0.41272237427904485,0.5477612157064748,,
DTLZ3,6,decision,0.16908775467501502,0.1400093612651496,,
DTLZ3,7,learning,0.692562994974283,0.4878013978225908,,
DTLZ3,7,decision,0.3014988795115515,0.44924290486377033,,
DTLZ3,8,learning,0.5635585465442771,0.4296532790052104,,
DTLZ3,8,decision,0.5018734816621379,0.3819905979447584,,
DTLZ3,9,learning,0.47649222620684284,1.0211692781863464,,
DTLZ3,9,decision,0.4827765529570941,0.5063963745349628,,
DTLZ4,3,learning,0.09645779627361482,0.04420428844353654,34.34902920515343,34.99858920674134
DTLZ4,3,decision,0.14251039092978596,0.12151476228055327,26.17992184878309,26.478535527801828
DTLZ4,4,learning,0.15733064824461854,0.1244125346830543,,
DTLZ4,4,decision,0.19028481140989378,0.14449351870230553,,
DTLZ4,5,learning,0.45657989219973594,0.46137601678651674,,
DTLZ4,5,decision,0.10067576464714234,0.09559305234592924,,
DTLZ4,6,learning,0.5495323615524761,0.5294852601142039,,
DTLZ4,6,decision,0.25183368049298893,0.25589938807833457,,
DTLZ4,7,learning,5.039652352137448,0.5016211454929658,,
DTLZ4,7,decision,1.3272347501637054,0.1061530820831503,,
DTLZ4,8,learning,0.8254754269390643,0.7898949505404094,,
DTLZ4,8,decision,1.2714075182950104,1.062947422597957,,
DTLZ4,9,learning,1.0243639898612145,1.0397293279504078,,
DTLZ4,9,decision,1.6266624719910887,1.0722659544559134,,
DTLZ1,3,learning,2.7861827461843696,2.4148352068700683,30.24711626325135,33.26496042885797
DTLZ1,3,decision,1.705525693546556,1.659240437620086,23.742277752909672,24.082503858150016
DTLZ1,4,learning,2.844372848638462,2.668709032445838,,
DTLZ1,4,decision,1.990864500408014,1.8031387340649432,,
DTLZ1,5,learning,3.3150383120052114,2.8610701505462597,,
DTLZ1,5,decision,2.3378137333971525,2.701847317586867,,
DTLZ1,6,learning,2.7064237050338744,2.5040022110756723,,
DTLZ1,6,decision,1.820576567429686,1.85451617912734,,
DTLZ1,7,learning,4.2544032744108495,2.6806131387914167,,
DTLZ1,7,decision,2.3302578919375008,3.0340470593547924,,
DTLZ1,8,learning,2.9920984160262716,2.9605078149880497,,
DTLZ1,8,decision,2.424625032654469,3.934071257818567,,
DTLZ1,9,learning,3.273737374522705,2.8153288833270835,,
DTLZ1,9,decision,2.489636035766155,2.329373497076006,,
DTLZ2,3,learning,0.32082603572478463,0.09954145854102851,31.352379609239193,33.50316856014032
DTLZ2,3,decision,0.1995081844946433,0.19149938779882864,24.614964809392003,24.824997375632144
DTLZ2,4,learning,1.032300237015428,0.4304334841858361,,
DTLZ2,4,decision,2.14664971522644,1.006834691623784,,
DTLZ2,5,learning,0.11338863691721919,0.08485478345621128,,
DTLZ2,5,decision,0.04977413706302165,0.05958579182991183,,
DTLZ2,6,learning,0.4187090441036489,0.3962437066702812,,
DTLZ2,6,decision,1.31389002842026,1.2607118885568414,,
DTLZ2,7,learning,1.2078894695681912,0.9375949575591053,,
DTLZ2,7,decision,1.4331797321200088,1.2941710266683089,,
DTLZ2,8,learning,0.43878466027647717,0.48084466366624984,,
DTLZ2,8,decision,0.43803109324945305,0.41338604757720443,,
DTLZ2,9,learning,1.4183793990779934,0.5926336210555945,,
DTLZ2,9,decision,2.6997750674068364,1.0113273044209485,,
DTLZ3,3,learning,0.05460041000713433,0.07260984968148226,34.42757531426683,33.711328784060214
DTLZ3,3,decision,0.034374770571200246,0.04043788966090084,25.749721342987442,25.758313315172117
DTLZ3,4,learning,0.3036680459966076,0.30934428850184437,,
DTLZ3,4,decision,0.188353262682804,0.1490688904271165,,
DTLZ3,5,learning,0.3271040404084315,0.7896647571136427,,
DTLZ3,5,decision,0.13192552554664919,0.11911858270423528,,
DTLZ3,6,learning,0.33263609458738763,0.524673706245024,,
DTLZ3,6,decision,0.21237419187315543,0.22848655494233427,,
DTLZ3,7,learning,0.9000265306517186,1.1254600384891567,,
DTLZ3,7,decision,0.41757442168495085,0.49798706239374513,,
DTLZ3,8,learning,0.6341653163585138,0.9149673127960531,,
DTLZ3,8,decision,0.45051307404809315,0.3508158542897931,,
DTLZ3,9,learning,1.1146703614275482,0.502364461244066,,
DTLZ3,9,decision,0.14169004547918493,0.682411572528997,,
DTLZ4,3,learning,0.07749578168404442,0.05657014850116382,32.87787463730648,33.22757007601993
DTLZ4,3,decision,0.017719962778421226,0.04082597106709929,25.860135320422003,25.81986484878591
DTLZ4,4,learning,0.18789961592961238,0.0660776565674331,,
DTLZ4,4,decision,0.20256916896127808,0.1725361866213504,,
DTLZ4,5,learning,0.12840968530118138,0.10491291769494304,,
DTLZ4,5,decision,0.08797166214963617,0.14818660354249116,,
DTLZ4,6,learning,0.5956029682348354,0.5303409968194929,,
DTLZ4,6,decision,0.956253697014321,1.1202734499280973,,
DTLZ4,7,learning,6.166604084543945,0.523407211571528,,
DTLZ4,7,decision,2.4584490654146456,0.2219360714817496,,
DTLZ4,8,learning,4.124011022302037,0.4173955950906062,,
DTLZ4,8,decision,2.001114649973649,0.32979431821585414,,
DTLZ4,9,learning,0.8566020029032504,0.6814345949869853,,
