problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 0.          0.         22.37563489],0.567506123522184,0.5531050293670147,7.961035188843591,8.036170264167797
DTLZ1,3,2,50,[0.         0.79577684 3.18310737],0.5649110781597285,0.5620236895341197,8.374589793260949,8.504939141196198
DTLZ1,3,3,50,[0.         0.24265048 0.97060194],0.5681697039791755,0.5595552239414068,8.340920576547157,8.578528111850783
DTLZ1,3,4,50,[0.         0.         0.97062096],0.5519437231304462,0.5518425431555886,8.080051733472102,8.067902517310472
DTLZ1,3,5,50,[0.         0.09976369 0.39905475],0.5667766657738896,0.5666544520312474,8.222846021079267,8.257131113930564
DTLZ1,3,6,50,[0.         0.08764107 0.3505643 ],0.5666964751188243,0.5670893096177133,8.22783664830231,8.23639706677439
DTLZ1,3,7,50,[0.         0.08731599 0.34926397],0.566766326750351,0.5671765365684481,8.214119131146019,8.234931320527807
DTLZ2,3,1,50,[2.07235022e-17 1.01409910e+00 0.00000000e+00],0.00912221892993206,0.007787060904929784,8.0804561252399,8.062715972379822
DTLZ2,3,2,50,[0.92317701 0.30772567 0.30772567],0.028528329021918226,0.038300857645249785,8.830427100031184,8.700089908224765
DTLZ2,3,3,50,[0.98171081 0.2454277  0.        ],0.06584678846356717,0.06729420516508156,8.323465361604736,8.334017728672709
DTLZ2,3,4,50,[1.00099488 0.         0.        ],0.008333063108199323,0.0072988744832538045,8.080214203569152,8.060316841349232
DTLZ2,3,5,50,[0.90467525 0.30155842 0.30155842],0.030907737227888504,0.033092411411822904,8.64986861921174,8.652291662194012
DTLZ2,3,6,50,[0.90467525 0.30155842 0.30155842],0.033237616633248694,0.024359044758244734,8.570641610729282,8.676511354742193
DTLZ2,3,7,50,[0.90467525 0.30155842 0.30155842],0.03308719698885754,0.025833194554304283,8.57123818350173,8.662978876694526
DTLZ3,3,1,50,[11.54226355 23.0845271  23.0845271 ],0.08908002420946591,0.11566098357570441,8.934737622986912,8.377196324450093
DTLZ3,3,2,50,[3.37405480e-32 3.66498995e+00 5.49748493e+00],0.010316167924916912,0.07010392701976427,8.823566911613819,8.402328109506659
DTLZ3,3,3,50,[8.36555733e-33 1.48801139e+00 2.23201709e+00],0.005343163187656899,0.004205518665885808,8.787612352263771,8.840575703832773
DTLZ3,3,4,50,[8.36555733e-33 1.06018922e+00 0.00000000e+00],0.01061651956770102,0.009264765342492163,8.068120294838625,8.046246109554929
DTLZ3,3,5,50,[8.36555733e-33 5.77192309e-01 8.65788463e-01],0.007628365208168062,0.009313847021196676,8.608110648294891,8.60822250987678
DTLZ3,3,6,50,[8.36555733e-33 5.62603111e-01 8.43904667e-01],0.0054973334511003065,0.010454611466760692,8.6292861497097,8.64490948231715
