problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 0.          0.         15.32152632],0.7259899774312181,0.5528282585088502,6.827872377872572,8.063581783678819
DTLZ1,3,2,50,[0.58072531 1.16145063 1.16145063],0.6856924963697905,0.7476258546321571,9.18020053435966,8.387918545658385
DTLZ1,3,3,50,[0.34960476 0.69920952 0.69920952],0.6906657625921154,0.759175054511378,9.058557630739143,8.431941972831696
DTLZ1,3,4,50,[0.         0.41685802 0.1042145 ],0.6836421096713886,0.6827120644557513,8.322114524200646,8.630311749067882
DTLZ1,3,5,50,[0.21928582 0.21928582 0.10964291],0.816292491457363,0.7134053983761383,7.412455611292104,8.621700498414395
DTLZ1,3,6,50,[0.19659544 0.19659544 0.09829772],0.6890676436956373,0.6850835139699193,8.972656430400496,8.904394065320972
DTLZ1,3,7,50,[0.1945001  0.1945001  0.09725005],0.6883920219129158,0.6860338302946357,8.955220131302072,8.899345534566928
DTLZ2,3,1,50,[3.25088666e-17 1.07498339e+00 0.00000000e+00],0.008853422197857128,0.0068494661139729485,8.08003808173456,8.058759054641204
DTLZ2,3,2,50,[1.00301056 0.         0.        ],0.00874971692262368,0.006866523287507867,8.076895502393167,8.060877331044967
DTLZ2,3,3,50,[5.02799846e-19 0.00000000e+00 1.00014092e+00],0.011387707202227211,0.005293817309896731,8.065972878967587,8.061608643412299
DTLZ2,3,4,50,[0.8347385  0.55649233 0.        ],0.007719519701288776,0.010320138072438726,8.778637451685956,8.789759952865278
DTLZ2,3,5,50,[0.55615122 0.83422683 0.        ],0.006883120890820978,0.011607912365308776,8.61270258973797,8.647127667891064
DTLZ2,3,6,50,[0.55479898 0.83219847 0.        ],0.005764702893247375,0.009618685971358494,8.622243800188874,8.636883790212774
DTLZ2,3,7,50,[0.55474284 0.83211426 0.        ],0.005952624691267226,0.010111605878024019,8.62222562460791,8.63643316003745
DTLZ3,3,1,50,[3.66337973e-31 2.81685614e+01 4.22528422e+01],0.01768679193780174,0.07839177295115299,8.704012177700085,8.019586049118399
DTLZ3,3,2,50,[ 6.74884478 13.49768957 13.49768957],0.04343330526324268,0.07810677648845551,8.958392343031672,9.02727453050228
DTLZ3,3,3,50,[2.06996127 0.         8.27984509],0.13268033166948173,0.11421292322668439,7.795186308589125,8.050641973754177
DTLZ3,3,4,50,[0.38903885 0.38903885 1.16711655],0.009741307922229539,0.040197375704323565,8.906058495573873,9.029041523900087
DTLZ3,3,5,50,[1.10979229 0.         0.        ],0.646169372238574,0.048722696896698954,4.199871765909368,8.018642713590392
DTLZ3,3,6,50,[1.0436061 0.        0.       ],0.007534435568324557,0.08040796940969733,8.031851720969547,8.0
DTLZ3,3,7,50,[1.01021328 0.         0.        ],0.010224223619422542,0.007512835752800787,8.030096734976222,8.03140068410972
DTLZ4,3,1,50,[6.16200166e-17 1.00935561e+00 0.00000000e+00],0.022935113917717437,0.0049916897528202156,7.94716523518785,8.061910630148128
DTLZ4,3,2,50,[0.30342962 0.30342962 0.91028885],0.11581038269935552,0.02287127092732935,8.19996691003579,8.710550014992906
DTLZ4,3,3,50,[3.29752379e-18 2.43787873e-01 9.75151493e-01],0.06696125315886489,0.06957433430368098,8.30341938337049,8.345352917331747
DTLZ4,3,4,50,[0.30552235 0.91656704 0.30552235],0.033393400891944425,0.024131515702604755,8.770218281599437,8.726055403078337
DTLZ4,3,5,50,[0.3016107  0.3016107  0.90483209],0.03006329385131563,0.027592607109292087,8.594917595043052,8.654991796299033
DTLZ4,3,6,50,[0.3016107  0.3016107  0.90483209],0.03372599158770969,0.024670339579424216,8.569199233769185,8.672528268822346
DTLZ4,3,7,50,[0.3015661  0.3015661  0.90469831],0.03247607521801865,0.026907529797181525,8.583446019153207,8.65471987051617
DTLZ1,4,1,50,[ 0.          0.         21.9955213   5.49888033],1.0208784442329286,0.7438189787517204,,
DTLZ1,4,2,50,[0.         0.         0.         7.44100734],0.5591308922554437,0.5592385505389379,,
DTLZ1,4,3,50,[0.         0.76954393 0.76954393 2.30863179],0.5990150117448996,0.6193005419223131,,
DTLZ1,4,4,50,[0.         0.         0.19227429 0.76909718],0.5724012640003378,0.6183855428534405,,
DTLZ1,4,5,50,[0.10555203 0.         0.10555203 0.31665609],0.6148275564007729,0.7796544060015782,,
DTLZ1,4,6,50,[0.09240407 0.         0.09240407 0.27721222],0.6158858532611448,0.6257592671429858,,
DTLZ1,4,7,50,[0.08872308 0.         0.08872308 0.26616925],0.6154318344377943,0.6102732996720255,,
DTLZ2,4,1,50,[1.44429078e-17 0.00000000e+00 1.01254771e+00 2.53136927e-01],0.08918255480343477,0.06666536499689708,,
DTLZ2,4,2,50,[0.24530046 0.         0.98120186 0.        ],0.08641022501868802,0.08975114486283552,,
DTLZ2,4,3,50,[0.69598876 0.         0.69598876 0.34799438],0.026077624464366875,0.035492923641954076,,
DTLZ2,4,4,50,[0.67868976 0.33934488 0.         0.67868976],0.02363485704631813,0.050942206461733704,,
DTLZ2,4,5,50,[0.66700319 0.         0.66700319 0.3335016 ],0.055544879110595864,0.055525594481825674,,
DTLZ2,4,6,50,[0.66700319 0.         0.66700319 0.3335016 ],0.035689581777754525,0.039751029877210325,,
DTLZ2,4,7,50,[0.66700319 0.         0.66700319 0.3335016 ],0.03816256327539339,0.03744928020110105,,
DTLZ3,4,1,50,[13.56467109 54.25868437  0.          0.        ],0.08449999258533603,0.0538037447368917,,
DTLZ3,4,2,50,[5.74400661e-48 3.68996020e+00 1.47598408e+01 0.00000000e+00],0.08964326225075318,0.12269099346732597,,
DTLZ3,4,3,50,[2.05607568e-48 1.53935143e+00 6.15740571e+00 0.00000000e+00],0.062349654821664595,0.12687508837508654,,
DTLZ3,4,4,50,[2.69333212 2.69333212 0.         1.34666606],0.6854064796498538,0.03511780457128089,,
DTLZ3,4,5,50,[2.05607568e-48 0.00000000e+00 0.00000000e+00 4.01779859e+00],0.04812342088390166,0.05276986585459176,,
DTLZ3,4,6,50,[2.05607568e-48 0.00000000e+00 0.00000000e+00 3.01716762e+00],0.03253463939847926,0.031720535036012236,,
DTLZ3,4,7,50,[2.05607568e-48 0.00000000e+00 0.00000000e+00 2.01020648e+00],0.03256281683777948,0.010686072544755912,,
DTLZ4,4,1,50,[8.77472512e-18 1.03016012e+00 0.00000000e+00 0.00000000e+00],0.056094634903001935,0.007677632671885928,,
DTLZ4,4,2,50,[2.96130810e-18 0.00000000e+00 9.76438363e-01 2.44109591e-01],0.08549962331793164,0.09154548873201603,,
DTLZ4,4,3,50,[0.38184045 0.38184045 0.38184045 0.7636809 ],0.29944861772128767,0.3283644844976565,,
DTLZ4,4,4,50,[0.40914676 0.40914676 0.81829352 0.40914676],0.31258996409133727,0.3226325498629041,,
DTLZ4,4,5,50,[0.37840614 0.37840614 0.37840614 0.75681228],0.30714779207301296,0.374202097867031,,
DTLZ4,4,6,50,[0.37837545 0.37837545 0.37837545 0.7567509 ],0.3500743668038735,0.3644632727460284,,
DTLZ4,4,7,50,[0.37826733 0.37826733 0.37826733 0.75653466],0.3557731483065364,0.3519952798616153,,
DTLZ1,5,1,50,[  0.           0.           0.           0.         105.61609125],0.6277078522445593,0.5656415759802831,,
DTLZ1,5,2,50,[0.         0.         0.         9.85618241 6.57078827],1.0224654940801206,0.8625079660751298,,
DTLZ1,5,3,50,[0.         0.         0.         0.         4.54620961],0.5719041604508611,0.5632012625152216,,
DTLZ1,5,4,50,[0.         0.         0.         1.97019017 2.95528525],0.6864045532127446,0.6760746097296733,,
DTLZ1,5,5,50,[0.36396851 0.         0.         0.         1.45587403],0.5937825748375029,0.6243064491179695,,
DTLZ1,5,6,50,[0.24567023 0.         0.         0.         0.9826809 ],0.5790857433249332,0.6216549193068139,,
DTLZ1,5,7,50,[0.12128569 0.         0.         0.         0.48514278],0.5837787049081408,0.6243064491179695,,
DTLZ2,5,1,50,"[2.96979492e-17 3.22404342e-17 8.62363872e-18 1.00575191e+00
 2.51437977e-01]",0.07811760779477138,0.08252594368915711,,
DTLZ2,5,2,50,"[9.12546244e-20 0.00000000e+00 6.84597061e-01 3.42298531e-01
 6.84597061e-01]",0.02767952663014023,0.027515639541028866,,
DTLZ2,5,3,50,"[2.85365504e-33 0.00000000e+00 3.37053717e-01 6.74107434e-01
 6.74107434e-01]",0.03233961455615995,0.057396415678348196,,
DTLZ2,5,4,50,"[1.80852830e-33 3.79900469e-01 3.79900469e-01 3.79900469e-01
 7.59800939e-01]",0.311969301947054,0.34196145451314314,,
DTLZ2,5,5,50,"[1.80852830e-33 0.00000000e+00 3.34004845e-01 6.68009690e-01
 6.68009690e-01]",0.03676191809816358,0.03971637829711999,,
DTLZ2,5,6,50,"[6.88729651e-34 0.00000000e+00 3.33601662e-01 6.67203324e-01
 6.67203324e-01]",0.03928760077031188,0.03593455550991142,,
DTLZ2,5,7,50,"[6.88729651e-34 0.00000000e+00 3.33524325e-01 6.67048650e-01
 6.67048650e-01]",0.03539994702831531,0.03296195397135064,,
DTLZ3,5,1,50,"[3.38808357e-47 4.21949361e+01 0.00000000e+00 6.32924042e+01
 0.00000000e+00]",0.05390856848428943,0.3175155199794001,,
DTLZ3,5,2,50,"[1.31704827e-63 0.00000000e+00 0.00000000e+00 2.96808870e+01
 7.42022175e+00]",0.12356270868728986,0.07930311368582126,,
DTLZ3,5,3,50,"[1.31704827e-63 0.00000000e+00 8.74850210e+00 0.00000000e+00
 2.18712552e+00]",0.10521352401837832,0.16306818624105587,,
DTLZ3,5,4,50,"[3.56043540e-64 0.00000000e+00 3.73268944e+00 0.00000000e+00
 9.33172359e-01]",0.0967614142271942,0.048604579933350434,,
