problem,num_obj,phase,iRVEA_R_IGD_mean,iRVEA_R_IGD_std,iNSGAIII_R_IGD_mean,iNSGAIII_R_IGD_std,iRVEA_R_HV_mean,iRVEA_R_HV_std,iNSGAIII_R_HV_mean,iNSGAIII_R_HV_std
DTLZ1,3,learning,2.397552063011248,0.10526229548997403,2.411431197939115,0.11209154908192755,33.711502087554045,0.7100752276854253,33.590720643221914,0.8410185948043375
DTLZ1,3,decision,1.8525838937696502,0.20422557461526317,1.8459053971869155,0.20081728977744417,25.13751023192713,0.8034609106063403,25.278310448460235,0.8816302665767962
DTLZ1,4,learning,2.505525843865528,0.15472849265425362,2.5365588481559693,0.16092018535798336,,,,
DTLZ1,4,decision,1.9555942308802035,0.2693296218541453,2.163203863543107,0.9276103781003597,,,,
DTLZ1,5,learning,2.5823607136740128,0.2510363315553271,2.5590526822900475,0.19210910756097693,,,,
DTLZ1,5,decision,1.8889800507386558,0.20786799120329183,1.9398361204489976,0.2351802027248652,,,,
DTLZ1,6,learning,2.5427436892217306,0.13197047070961673,2.701459810701015,0.34560851448148067,,,,
DTLZ1,6,decision,2.068143706420913,0.24710684673989317,2.353540671862216,0.3506128916255004,,,,
DTLZ1,7,learning,2.686178235007116,0.1873791093631477,2.7306828947185315,0.41807725106005894,,,,
DTLZ1,7,decision,2.0879612752891212,0.26624571670666436,2.2809367674371233,0.4184910997387661,,,,
DTLZ1,8,learning,2.6576112414429796,0.16616210897475964,2.7202298357298877,0.30382758224021167,,,,
DTLZ1,8,decision,2.133312763640863,0.3256733468434474,2.4337393610342253,0.4939219156840016,,,,
DTLZ1,9,learning,2.644844523638485,0.1541300364682832,2.7467987571379915,0.2805511053953268,,,,
DTLZ1,9,decision,2.1001385091913187,0.30095960960023316,2.420271837424983,0.7571148764875852,,,,
DTLZ2,3,learning,0.1889885838597145,0.16355388387077013,0.18684176725010632,0.3032216875285643,32.16857681658024,1.4193767520171194,32.54248132403237,1.4224277909157015
DTLZ2,3,decision,0.3244443841561412,0.42540940613043465,0.08201682869120076,0.060902730602146064,23.86173074368413,3.0105891023400537,25.878849647677743,0.5537462995431891
DTLZ2,4,learning,0.37347035499261677,0.349048998177798,0.16409578212888687,0.0927838647801787,,,,
DTLZ2,4,decision,0.8674521712982093,0.8078896417556674,0.2712934194309823,0.25385479708686043,,,,
