problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,100,[0.         1.00861953 4.03447813],0.5598340695400905,0.5712249283763925,8.682743789381808,8.239481891227431
DTLZ1,3,2,100,[0.         0.         1.05588838],0.5519499575029124,0.5520339887763478,8.082216039326457,8.041817747260705
DTLZ1,3,3,100,[0.21556218 0.21556218 0.10778109],0.6811226072711861,0.6848724871816515,9.146709158054097,8.933038012502244
DTLZ1,3,4,100,[0.21683156 0.32524734 0.        ],0.6219637594487812,0.6231631976984465,8.808113916094095,8.803398742279835
DTLZ1,3,5,100,[0.19534839 0.19534839 0.0976742 ],0.6932842163760805,0.683837459083238,8.743395732452687,8.890292620541498
DTLZ1,3,6,100,[0.19509507 0.19509507 0.09754754],0.6931365805900991,0.6857018371381006,8.703715902572393,8.909122070057027
DTLZ1,3,7,100,[0.19421788 0.19421788 0.09710894],0.6945534324542221,0.6884506858082268,8.656214303026786,8.776862669921062
DTLZ2,3,1,100,[3.34920604e-17 1.01147273e+00 5.67105053e-02],0.020048450466501985,0.0198644859553762,8.27975643030745,8.260531530510569
DTLZ2,3,2,100,[1.00311643 0.         0.        ],0.008783029811531132,0.5059707863966602,8.080226888284905,5.430117477242668
DTLZ2,3,3,100,[1.02914041e-19 8.51617196e-01 5.67744797e-01],0.009315119102097027,0.009479965974779693,8.860490049267625,8.756894819379625
DTLZ2,3,4,100,[1.02914041e-19 5.64719809e-01 8.47079713e-01],0.005942441334582319,0.009115770333320403,8.778666923314383,8.779275879701716
DTLZ2,3,5,100,[1.02914041e-19 8.32130322e-01 5.54753548e-01],0.006024085131245399,0.009617244409619063,8.621780685276256,8.623724037286667
DTLZ2,3,6,100,[1.02914041e-19 8.32130322e-01 5.54753548e-01],0.005906543814349964,0.010176301322131535,8.620256830253657,8.634066989150059
DTLZ2,3,7,100,[1.02914041e-19 8.32130322e-01 5.54753548e-01],0.005913200974214679,0.006756902103357816,8.62068749267505,8.635011254872174
DTLZ3,3,1,100,[4.11020251 4.11020251 2.05510125],0.05101114967104495,0.025076438949602133,8.97101278600771,9.19133584974477
DTLZ3,3,2,100,[3.06232612e-32 1.05692737e+00 0.00000000e+00],0.008544673072083373,0.005097689021140502,8.072246886362976,8.077101569399106
DTLZ3,3,3,100,[0.3113229  0.93396869 0.3113229 ],0.03457830580253659,0.02833355411991644,8.807553077536996,9.26534138230896
DTLZ3,3,4,100,[1.00636214 0.         0.        ],1.499437950359866,0.022096059382953934,1.3498133810158786,7.944661357509313
DTLZ3,3,5,100,[0.30274247 0.90822741 0.30274247],0.03732396849423852,0.026162647597337097,8.613783301865366,8.666003467183382
DTLZ3,3,6,100,[0.30262309 0.90786926 0.30262309],0.0324360090956617,0.022708022611218428,8.574481468604217,8.674486339662463
DTLZ3,3,7,100,[0.30261252 0.90783757 0.30261252],0.03365192218427802,0.031015547531062327,8.565968670973188,8.630786619564812
DTLZ4,3,1,100,[3.49177125e-017 1.36517123e-224 1.00166757e+000],0.008830283002664092,0.007234843428960731,8.08020151366633,8.059679014870186
DTLZ4,3,2,100,[3.75020590e-33 1.00012276e+00 0.00000000e+00],0.023322838210436514,0.007297408983723717,7.946598678770302,8.059939001164185
DTLZ4,3,3,100,[0.5548149  0.         0.83222234],0.00618361935568963,0.010008794793264593,8.816971717581414,8.7357188480672
DTLZ4,3,4,100,[1.00010823 0.         0.        ],0.023206914276021274,0.00768816723267642,7.9465833241380714,8.060390010874494
DTLZ4,3,5,100,[0.55473954 0.         0.83210931],0.005935586851872173,0.009197470653464547,8.620722115405767,8.641266334913043
DTLZ4,3,6,100,[0.55472366 0.         0.83208548],0.005939498938776115,0.009914798781861068,8.61923557477565,8.60229136693946
DTLZ4,3,7,100,[0.55470859 0.         0.83206288],0.0059183717543386345,0.010088383803100304,8.620805586959406,8.643644550411155
DTLZ1,4,1,100,[0.        0.        0.        9.7303693],0.5588424387683,0.558847905346847,,
DTLZ1,4,2,100,[0.         0.         0.38889033 0.5833355 ],0.6400130375495247,0.6679600912970735,,
DTLZ1,4,3,100,[0.         0.         0.         0.51526471],0.5588053248733744,0.5726046307005541,,
DTLZ1,4,4,100,[0.         0.         0.29736511 0.19824341],0.7612332076349887,0.7609811439912063,,
DTLZ1,4,5,100,[0.         0.         0.16864566 0.2529685 ],0.6462197750572696,0.643919596949814,,
DTLZ1,4,6,100,[0.         0.         0.16864566 0.2529685 ],0.6451718200726375,0.6416504507984152,,
DTLZ1,4,7,100,[0.       0.       0.167446 0.251169],0.6464832228823012,0.6419710624519099,,
DTLZ2,4,1,100,[2.89049350e-17 1.00929274e+00 0.00000000e+00 0.00000000e+00],0.008130229526167414,0.004820384700177848,,
DTLZ2,4,2,100,[0.97855067 0.         0.24463767 0.        ],0.08580131931194417,0.09010669221236894,,
DTLZ2,4,3,100,[1.0013576 0.        0.        0.       ],0.007934393932874055,0.003135954833134311,,
DTLZ2,4,4,100,[6.58425974e-18 0.00000000e+00 1.00024296e+00 0.00000000e+00],0.008781017097142968,0.0036241295588103676,,
DTLZ2,4,5,100,[0.97039873 0.         0.24259968 0.        ],0.08540743329793399,0.0903589076671489,,
DTLZ2,4,6,100,[0.97029862 0.         0.24257465 0.        ],0.08580255958722972,0.08653924644245947,,
DTLZ2,4,7,100,[0.97027606 0.         0.24256901 0.        ],0.08633508941141953,0.09240489945394459,,
DTLZ3,4,1,100,[4.64944046e-48 8.91331062e+00 4.45665531e+00 8.91331062e+00],0.04217495746236113,0.024194427464920287,,
DTLZ3,4,2,100,[4.64944046e-48 1.04600189e+00 2.09200378e+00 2.09200378e+00],0.038503638819090025,0.14520329237918217,,
DTLZ3,4,3,100,[4.64944046e-48 3.38481058e-01 1.35392423e+00 0.00000000e+00],0.08777115404256315,0.07325726868858658,,
DTLZ3,4,4,100,[4.64944046e-48 0.00000000e+00 2.49517292e-01 9.98069166e-01],0.08726574429144425,0.08181396939059661,,
DTLZ3,4,5,100,[4.64944046e-48 2.46700527e-01 9.86802107e-01 0.00000000e+00],0.08527548545123576,0.09424611975026893,,
DTLZ3,4,6,100,[4.64944046e-48 2.44361554e-01 9.77446215e-01 0.00000000e+00],0.08487518486545358,0.09210749126884765,,
DTLZ3,4,7,100,[4.64944046e-48 2.43637698e-01 9.74550791e-01 0.00000000e+00],0.08589348480992891,0.0905907251132461,,
DTLZ4,4,1,100,[2.98873650e-17 1.00710327e+00 0.00000000e+00 0.00000000e+00],0.05452494026761678,0.0026836907135820575,,
DTLZ4,4,2,100,[1.001073 0.       0.       0.      ],0.055800885507363604,0.007367209640521415,,
DTLZ4,4,3,100,[0.33450102 0.         0.66900203 0.66900203],0.035257561993516484,0.0444307623497327,,
DTLZ4,4,4,100,[3.75107807e-33 0.00000000e+00 8.36559654e-01 5.57706436e-01],0.03145408487067181,0.01956307111600729,,
DTLZ4,4,5,100,[0.3333893 0.        0.6667786 0.6667786],0.03560138176202933,0.04239488740433337,,
DTLZ4,4,6,100,[0.3333893 0.        0.6667786 0.6667786],0.03693567024619187,0.03759275378796842,,
DTLZ4,4,7,100,[0.3333893 0.        0.6667786 0.6667786],0.036570633975019154,0.037000777130814524,,
DTLZ1,5,1,100,[ 0.          0.          0.         22.37859874  5.59464968],1.2365368135494714,0.7289312883444528,,
DTLZ1,5,2,100,[0.         0.         0.         0.         3.57659896],0.7225714189876372,0.5681027967373216,,
DTLZ1,5,3,100,[0.         0.         0.         0.         1.77016018],0.5633495018193084,0.5651124716919244,,
DTLZ1,5,4,100,[0.         0.         0.         0.58688308 0.        ],0.563418120503485,0.5636980978651632,,
DTLZ1,5,5,100,[0.         0.0853331  0.         0.         0.34133241],0.7168502158373714,0.5783102245087496,,
DTLZ1,5,6,100,[0.         0.07762177 0.         0.         0.31048707],0.5832306975972411,0.5763377240352393,,
DTLZ1,5,7,100,[0.         0.07762177 0.         0.         0.31048707],0.5789532964184523,0.5773176069206045,,
DTLZ2,5,1,100,"[1.64977998e-17 0.00000000e+00 3.62713422e-17 0.00000000e+00
 1.00780521e+00]",0.03582094668514258,0.00795635929459469,,
DTLZ2,5,2,100,"[8.05303970e-36 3.87995468e-01 3.87995468e-01 7.75990936e-01
 3.87995468e-01]",0.7560306515249176,0.3229253659151823,,
DTLZ2,5,3,100,"[8.05303970e-36 6.71820151e-01 3.35910076e-01 0.00000000e+00
 6.71820151e-01]",0.7629705286617355,0.020601791540593512,,
DTLZ2,5,4,100,"[8.05303970e-36 1.00026127e+00 0.00000000e+00 0.00000000e+00
 0.00000000e+00]",0.03546383606257743,0.005775277154404749,,
DTLZ2,5,5,100,"[8.05303970e-36 3.78310101e-01 3.78310101e-01 7.56620202e-01
 3.78310101e-01]",0.7560306515249172,0.33916451194287883,,
DTLZ2,5,6,100,"[8.05303970e-36 3.78269681e-01 3.78269681e-01 7.56539362e-01
 3.78269681e-01]",0.7560306515249176,0.3355220910998402,,
DTLZ2,5,7,100,"[8.05303970e-36 3.78269681e-01 3.78269681e-01 7.56539362e-01
 3.78269681e-01]",0.7560306515249176,0.3262465580464694,,
DTLZ3,5,1,100,"[8.73934323e-64 0.00000000e+00 2.53524243e+01 8.45080809e+00
 8.45080809e+00]",0.04020627824089861,0.20358869748895733,,
DTLZ3,5,2,100,"[8.73934323e-64 0.00000000e+00 2.24278267e+00 6.72834801e+00
 2.24278267e+00]",0.026788058638813367,0.12145148312766892,,
DTLZ3,5,3,100,"[8.73934323e-64 0.00000000e+00 1.00405086e+00 4.01620346e+00
 0.00000000e+00]",0.12759798855117227,0.07803826298543896,,
